modele,Nom,couleur,cathegorie,marque,prix,Description,link
STT-5032SA,"SMART TECHNOLOGY SMART TV 32"" - HDMI - FHD - 3D -Wifi - Régulateur + Décodeur Intégré - Noir - Garantie 12 Mois",Noir,electronique,SMART TECHNOLOGY,59900,"['Pas de Support Mural', 'Type de produit : SMART TV', 'Modèle : STT-5032SA', 'Ecran : 32 Pouces', 'Résolution : HD 1080p (1920x1080p)', 'Interface : HDMI, USB', 'Tension : 100 - 240 V', 'Fréquence : 50 - 60 Hz', 'Dimensions : 79.7 X 10.8 X 48.3 cm', 'Poids : 3.8Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/410911/1.jpg?5126
NLE-32A-C,Nexon TV LED ULTRA SLIM SANS BORDURE 32 Pouces - HD - NLE-32A-C - Noir,Noir,electronique,Nexon,48900,"['Type produit : TV LED', 'Marque : Nexon', 'Modèle :\xa0NLE-32A-C', 'taille : 32 pouces (81 cm)', 'Résolution affichage : 1366x768 pixels', 'Ratio : 16:9', 'Contraste ratio : 3000:1', 'Luminosité : 180cdm2', 'Temps de réponse : 8.5ms', 'Haut-parleurs : 2x6W', 'USB :\xa0 x2', 'HDMI : x2', 'Alimentation : 100-240V  50-60HZ', 'Consommation : 55W', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/051121/1.jpg?5921
1,Nexon NEXON Bouilloire Electrique 2 Litres – 1500W - NEK- 180 - Silver,Silver,electronique,Nexon,3950,"['Type de produit : Bouilloire électrique', 'Marque : NEXON', 'Référence : NEK- 180', 'Capacité : 2 Litres', 'Puissance : 1500 Watts', 'Tension : 220-240 V', 'Fréquence : 5060 Hz', 'Protection de sécurité', 'Corps en acier inoxydable de haute qualité couvercle intérieur plastique', 'Design ergonomique', ""Economie d'énergie"", 'Rotation de la base à 360 degrés', 'Longueur du câble : 60cm']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/566121/1.jpg?6542
SN-HK32D2-R,"Hikers TV 32"" - LED - Sans Bordure - HD -USB-HDM - Support Mural Offert - Noir",Noir,electronique,Hikers,47900,"['Type de produit :\xa0TV LED', 'Marque : Hikers', 'Ecran : 32""', 'Sans Bordure -', 'HD -USB-HDM', 'Support Mural Offert']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/258911/1.jpg?3253
SN-HK32D2-S,"Hikers Smart TV Android-32""-LED HD + Décodeur Intégré+Régulateur De Tension-USB-HDMI",Noir,electronique,Hikers,59900,"['Frameless', '1 Year Warranty', 'A Class Display: 32 Inch MAX Display Mode (1366 X 768)', 'Eco-Friendly', 'Automatic Volume Leveller (AVL)']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/848911/1.jpg?9510
NLE-43S-C,Nexon Smart TV Android LED 43 Pouces - Ultra Slim Sans Bordures - Full HD - Noir,Noir,electronique,Nexon,99900,"['Type de produit : Téléviseur', 'Marque : Nexon', 'Modèle : NLE-43S-C', 'Ecran : 43 Pouces (108 cm)', 'Résolution : Full HD 1920x1080 pixels', 'Contraste ratio : 4000:1', 'Luminosité : 220cdm2', 'Affichage couleurs : 16.7 Millions', 'Aspect ratio : 16:9', 'Smart Tv : Oui', 'HDMI : x3', 'USB : x2', 'Entrée audio : x1', 'Haut parleurs : 2x6W', 'Android : Oui', 'Android DDR : 1Go', 'Android Flash : 8Go', 'Version Android : Android 11', 'Alimentation : 100-240V - 5060Hz', 'Consommation : 75W', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/328121/1.jpg?5445
43AB111D,Astech Téléviseur LED 43 Pouces - Smart Android - 43AB111D - Noir - Garantie 12 Mois,Noir,electronique,Astech,124600,"['Type Produit : Téléviseur Led', 'Marque : Astech', 'Modèle : 43AB111D', 'Smart\xa0Android TV', 'Ecran : 43 pouces (108 cm)', 'Smart Hub et une fonction à distance', 'Technologie de mise en miroir d’écran mobile', 'Connectivité Wi-Fi et Ethernet intégrée', 'Accédez à l’interface Smart TV de Samsung', 'Navigateur Web complet', '2 x ports HDMI', '1 x port USB', '1 x port vidéo composante', 'PurColor', 'Dolby Digital Plus', 'Hub intelligent avec vos applications préférées: Youtube, Netflix, etc.', 'Garantie: 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/986911/1.jpg?7769
CA820454,Fer à Repasser à Vapeur CAC Petit Modele - 1400W / 220-240V - CA820454,MAUVE BLANC,electronique,(23 avis vérifiés),6000,"['Type de Produit : Fer à Repasser A Vapeur', 'Marque : CAC', 'Puissance : 1400W', 'Matériau du corps: Plastique', 'Voltage: 220 -224V - 50 Hz', 'Facile a ranger']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/507121/1.jpg?1589
STR-135H,SMART TECHNOLOGY Réfrigérateur Bar 2 Portes 100 Litres - Gris - STR-135H-Garantie 12 Mois,Gris,electronique,SMART TECHNOLOGY,79900,"['Type de produit : Réfrigérateur 2 battants', 'Marque : Smart Technology', 'Modèle : STR-135H', 'Nombre de portes : 2', 'Volume brute: 100 L', 'Volume total net : 68 L', 'Capacité de congélation: 2.0 kg24h', 'Tension : 220-240V', 'Fréquence : 50Hz', 'Courant nominal: 1A', ""Puissance d ' entrée nominale: 100 W"", 'Puissance lampe: 15 W', 'Réfrigérant : R600a', 'Poids du réfrigérant: 32g', 'Design modernisé', 'Ergonomique et élégant', 'Poids net : 21 Kg', 'Garantie : 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/06888/1.jpg?8685
43A4G,Hisense Smart TV LED 43 Pouces - 43A4G - Full HD - U4- Noir - Garantie 12 mois,Noir,electronique,Hisense,144200,"['Type de Produit : TV LED', 'Marque : Hisense', 'Modèle : 43A4G', 'Smart TV', 'Écran : 43 Pouces (108 cm)', ""Résolution d'écran : Full HD : 1920x1080 pixems"", 'Haut-parleurs : 10W', 'HDMI : 2', 'USB : 2', 'Navigation Web : Oui', 'Ethernet : Oui', ""Système d'exploitation : VIDAA U4"", 'Alimentation électrique : AC220-240V 5060Hz', 'Audio : Oui']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/258911/1.jpg?0486
STHB-9999,SMART TECHNOLOGY Système Audio Avec Haut-parleur Multimédia - STHB-9999 - FM-USB - Carte Mémoire - Noir,Noir/Orange,electronique,SMART TECHNOLOGY,19900,"['Type de produit : Système Audio avec Haut-parleur multimédia', 'Modèle :\xa0STHB-9999', 'Puissance de sortie: 20W R.M.S', ""Exigence d' alimentation: AC220-240V  5060Hz"", 'Unité de pilotage: Subwoofer 5.25"" +Satellite 3""*2', 'Fréquence de réponse : 40Hz-20KHz', 'Taux SN:≥68dB', 'Séparation:≥48dB', 'Distorsion: ≤0,3% à la sortie 1W à 1 kHz', 'Taille du Subwoofer : WW160*D323*H270mm', 'Taille du Satellite : WW100*D101*H162mm', 'Bluetooth: OUI', 'Radio FM : Oui', 'Port USB : Oui', 'Port carte mémoire : Oui', 'Poids : 8.08 Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/682121/1.jpg?0233
BTF-32SN,Bruhm TV LED - 32 Pouces - HD - BTF-32SN - HDMI : x3 USB : x2 Noir,Noir,electronique,Bruhm,49600,"['Type de Produit : TV LED', 'Marque : Bruhm', 'Modèle : BTF-32SN', 'Écran : 32 Pouces (81 cm)', 'HDMI : x3', 'USB : x2', 'Alimentation électrique : AC220-240V 5060Hz', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/919811/1.jpg?2075
CAC50G,Cuisinière à Gaz 4 Feux - 50x50 - Inox - Gris - CAC50G,Gris,electronique,(8 avis vérifiés),73900,"['Type Produit : Cuisinière à gaz', 'Marque : CAC', 'Matière : inox', 'Modèle : CAC50G', 'Nombre de feux : 4', '50x50 cm', 'Bruleur gaz rapide: 1.85kW', 'Bruleur gaz Semi-rapide: 2x1.50 kW', 'Bruleur gaz auxiliaire: 1 kW', 'Puissance du bruleur de grill: 2kW', 'Bruleur du four 2.40 kW', 'Type de gaz LPG (G30) 30mbar: 600gh', 'Total du gaz: 8.25 kW', 'Classe: I-IP20', 'Categorie: I3BP', '1 plateau - 1 grille', 'Type de couvercle:', 'Abattant: verre', ""Tension d'alimentio  Frequence: 220-240 V - 50-60 Hz"", 'Consomation Electrique: Min. 0.06 kW - Max. 5.6 kW', 'Fusibe a utiliser: Min. 16 A - Max. 25A', 'Type de cordon electrique: 3 x 0.75 PVC - X 1 PVC - 3 X 1.5 PVC - 3 X 2.5 PVC H05 VV-F...', 'Longueur du cordon: Max.1.5M', 'Classe energetique: B', 'Eclairage : 25 W', 'Puissance du grill: 2000w']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/392121/1.jpg?0949
STR-99H,SMART TECHNOLOGY Réfrigérateur Bar 2 Portes 53 Litres - Gris - STR-99H - Garantie 12 Mois,Gris,electronique,SMART TECHNOLOGY,69900,"['Type de produit : Réfrigérateur 2 battants', 'Marque : Smart Technology', 'Modèle : STR-99H', 'Nombre de portes : x2', 'Volume total net : 53 L Net', 'Réfrigérant : R600a', 'Design modernisé', 'Ergonomique et élégant', 'Fermeture à clef : Oui', 'Tension : 220V', 'Fréquence : 50Hz', 'Puissance nominale: 120 W', 'Puissance lampe: 15 W', 'Dimensions : 46.0 x 48.3 x 88.9 cm', 'Poids : 22.5 Kg', 'Garantie : 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/06888/1.jpg?5257
43OG14,Astech TV LED - 43 Pouces - Full HD - 43OG14 - Noir - Garantie 12 Mois,Noir,electronique,Astech,98500,"['Type Produit : Téléviseur LED', 'Marque : Astech', 'Taille écran : 43 pouces (108cm)', ""Résolution d'affichage : Full HD 1920x1080 Pixels"", 'HDMI : Oui', 'USB : Oui', 'Couleur : Noir', 'Garantie: 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/141501/1.jpg?7771
STR-90H,SMART TECHNOLOGY Réfrigérateur Bar 1 Porte 90 Litres - STR-90H - Garantie 12 Mois,Gris,electronique,SMART TECHNOLOGY,64500,"['Type de produit : Réfrigérateur Combiné', 'Marque : Smart Technology', 'Modèle : STR-90H', 'Nombre de portes 1', 'Volume total net : 90 L', 'Réfrigérant : R600a', 'Design modernisé', 'Ergonomique et élégant', 'Fermeture à clef : Oui', 'Tension : 220V-240V', 'Fréquence : 50Hz', 'Puissance nominale: 70 W', 'Puissance lampe: 15 W', 'Consommation d’énergie : 0.38kwh24h', 'Dimensions : 45 x 45 x 78 cm', 'Poids : 20 Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/97289/1.jpg?8449
MLG72-V725S-CI,Astech Machine à laver MLG72-V725S-CI - 7kg,Gris,electronique,Astech,159900,"['Type de produit: Machine à laver', 'Capacité de lavage: 7kg', 'Classe énergétique: A+++', ""Vitesse d'essorage:1000 trmin"", 'Référence:\xa0MLG73-V730DG']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/141501/1.jpg?7909
32OG14,Astech Téléviseur LED 32 Pouces - HD - 32OG14 - Noir - Garantie 12 Mois,Noir,electronique,Astech,57750,"['Type Produit : Téléviseur LED', 'Marque : Astech', 'Modèle : 32OG14', 'Taile écran : 32 pouces', 'HDMI : Oui', 'USB : Oui', 'Couleur : Noir', 'Garantie: 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/986911/1.jpg?8641
WA-32BH5000B2,WOW TV TV LED 32 Pouces - HD - Noir - Garantie 6 Mois,Noir,electronique,WOW TV,52900,"['Type de Produit : TV DLED', 'Marque : WOW', 'Modèle : WA-32BH5000B2', 'Écran : 32 Pouces (81 cm)', ""Résolution d'affichage : HD 1366x768 Pixels"", 'Haut-parleurs : 8W + 8W', 'HDMI :x2', 'USB : x2', 'Aspect ratio : 16:9', 'Brightness : 220±10%', 'Contraste : 3000:1', 'Angle de vue : 176°(H) X 176°(V)', 'Couleurs : 16.7M', 'Temps de réponse : 6.5ms', 'Fréquence : 60HZ', 'Alimentation : 100-240V~ 5060Hz', 'Dimensions : 72.51 x 21.46 x 47.73 cm', 'Poids : 3.5Kg', 'Garantie : 6 mois', ""Les problèmes d'écrans ne sont pas pris en comptes dans la garantie"", ""La garantie ne prend pas en charge les reparations sur l'écran"", 'Dimension Poids', 'avec support(mm) sans support(mm) Net(Kg) Brut(Kg) 1Carton(Kg)', '725.1*214.6*477.3 725.1*69*426.8 3,5 4,5 1', '1,1 Système TV PAL BG DK I，SECAM BG DK', '1,2 Système DTV NON', '1,3 Système AV PAL, SECAM, NTSC', '1,4 MTS ou NICAM Non', '1,5 Sous-titrageV-Chip Non', '1,6 Page télétexte Non', '1,7 Langue du télétexte Non', '1,8 Canal de stockage maximum 99', '2,1 Mode image Oui', '2,2 Compatibilité HDTV（YPBPR）NON', '2,3 Résolution PCR supportant 640*480,800*600,1024*768,1366*768,1920*1080(Panneau FHD uniquement)', '2,4 Compatible USB（Aucun accord de licence）,USB JPEGBMPPNG,MP3,TXT,MPEG124,H.264', '3,1 Mode sonore Oui', '3,2 Effet sonore Oui', '3,3 Puissance maximale de sortie audio 8W+8W(8Ω）)', '4,1 Entrée antenne ×1( Type DIN)', '4,2 Entrée USB ×2', '4,3 Entrée HDMI ×2', '4,4 Entrée VGA ×1', '4,5 Entrée PC AUDIO ×1', '4,6 Entrée audio（RCA）（LR）×1', '4,7 Vidéo（RCA）Input ×1', '4,8 Entrée YPbPr（RCA）NON', '4,9 Entrée RJ45 Non', '4,1 Entrée carte CI Non', '4,11 Entréesortie SCaRT Non', '4,12 Entrée DC(12V)）Non', '4,13 LOGEMENT DE CARTE NON', '5,1 Sortie écouteurs ×1', '5,2 Sortie ligne audio（RCA）（LR）Non', '5,3 Sortie vidéo（RCA）） NonNon', '5,4 Optique Non', '5,5 Sortie coaxiale ×1', '6,1 Puissance nominale 100-240V~ 5060Hz', '6,2 Consommation électrique E32:60W', '7.1* WIFI Non', '7.2* Système intelligent Non', '7.3* CPU Non', '7.4* GPU Non', '7.5* RAM Non', '7.6* Mémoire flash non', 'Garantie : 06 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/504811/1.jpg?5063
STR-344H,SMART TECHNOLOGY Réfrigérateur 2 Portes 225 Litres - Argenté- STR-344H - Garantie 12 Mois - Classe A+,Argenté,electronique,SMART TECHNOLOGY,129900,"['Type de produit: Réfrigérateur 2 battants', 'Marque : Smart Technology', 'Référence: STR-344H', 'Capacité net: 225 L', 'Capacité réfrigérateur: 174 L', 'Capacité congélateur: 51 L', 'Classe énergétique :A+', 'Tension: 220-240 V', 'Fréquence: 50 Hz', 'Ampérage: 1.0A', 'Puissance: 120 W', 'Puissance lampe: 15 W', ""Consommation d'énergie: 0.74 (kwh24h)"", 'Gaz réfrigérant: R600a', 'Tropicalisé', 'Design moderne perfectionné', 'Poignets élégants', ""Economie d'électricité"", 'Dimensions :52.6×53.5×146.4cm', 'Poids: 37 Kg', 'Garantie : 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/06888/1.jpg?6089
55AG220A,Astech Smart TV LED 55 Pouces Android 55AC111D - 4K Ultra HD - Noir - Garantie 12 Mois,Noir,electronique,Astech,229000,"['Type produit : Smart TV', 'Marque : Astech', 'Modèle : 55AG220A', 'Taille écran 55\xa0pouces (139\xa0cm)', 'Résolution affichage : Ultra HD 3840x2160 pixels', 'Smart Hub et une fonction à distance', 'Technologie de mise en miroir d’écran mobile', 'Connectivité Wi-Fi et Ethernet intégrée', 'Accédez à l’interface Smart TV de Samsung', 'Navigateur Web complet', '2 x ports HDMI', '1 x port USB', '1 x port vidéo composante', 'PurColor', 'Dolby Digital Plus', 'Hub intelligent avec vos applications préférées: Youtube, Netflix, etc.', 'Garantie: 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/502501/1.jpg?9448
STCC-320,SMART TECHNOLOGY Congélateur Horizontal 320 Litres Brut- Gris - STCC-320 - Garantie 12 Mois,Gris,electronique,SMART TECHNOLOGY,165000,"['Type de produit : Congélateur horizontal', 'Marque : Smart Technology', 'Modèle : STCC-320', 'Réfrigérant: R134a105g', 'Volume brut : 320 L', 'Volume net : 264 L', 'Voltage : 220-240V', 'Puissance lampe: 2W', 'Fréquence : 50Hz', 'Réfrigérant: R134a105g', 'Dimensions : 118.6 x 58.2 x 87 cm', 'Clé: Oui', 'Grille pour refroidissement: Oui', 'Thermostat réglable: Oui', 'Pieds réglables: Oui', 'Poids : 39.2 Kg', 'Garantie : 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/427911/1.jpg?4423
32A4GS,Hisense TV LED 32 Pouces - 32A4GS - Smart Vidaa - Garantie 12 Mois,Noir,electronique,Hisense,84900,"['Type de Produit : TV Smart', 'Marque : Hisense', 'Smart TV', 'Écran : 32\xa0pouces (81\xa0cm)', 'Résolution : HD 1366x768Pixels', 'Smart TV', 'HDMI :oui', 'USB : oui', 'Puissance: 100 - 240 V AC', 'Fréquence : 50 - 60 Hz', 'Couleur : Noir']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/71189/1.jpg?6769
50A6K,Hisense TV LED 50 Pouces - 50A6K - UHD-4k Smart - Vidaa - Noir - Garantie 12 mois,Noir,electronique,Hisense,218100,"['Type de produit : SMART TV LED', 'Type LED TV ANDROID', 'Type de cadre Fin', 'Type de montage Mural et sur pied', ""Courbure de l'écran Plat"", 'Couleur avant Noir', 'Couleur du support Noir', 'Dimensions (L  P  H) CM 114,5×13,3×66,5  96,82 * 8,4 * 62,42', ""Technologie d'affichage DLED"", 'Resolution 1920x1080', 'Poids(Kg) 9 6,75', 'Classe énergétique', 'Temps de réponse 5ms @Game Mode (TBC)', 'Taux de rafraîchissement (Hz) 60', 'Tension 220 - 240', 'Fréquence Hz 5060', 'CPUGPURAMROM CA55x4 @1.1GHz (DVFS 1.45GHz)  G31MP2 @550MHz DDR3-2133 1G Bytes  eMMC5.1 8', 'Système d’exploitation Android R', 'Navigateur web Google', 'Applications disponibles Google Play, Net, Youtube, Featured Apps, Source, etc.', 'Connectivity', 'HDMI 2', 'USB 1 *2.0', 'Ethernet (LAN) Ethernet Network (RJ45, 10100M)', 'Sortie audio numérique (optique)', 'WiFi 2.4GHz Wi-Fi 802.11 bgn 2T2R', 'Bluetooth Bluetooth 5.0', 'Audio', 'Audio Bluetooth Oui']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/99439/1.jpg?0832
FC185M,Astech Congélateur Vertical 6 Tiroirs 185L - Gris - Classe A+ - Garantie 12 Mois,Gris,electronique,Astech,169900,"['Type de produit: Congélateur vertical', 'Marque : Astech', 'Modèle :\xa0FC185M', 'Capacité: 185L', 'Nombre de tiroirs : x6', 'Couleur : Gris', 'Classe énergétique : A+', 'Garantie: 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/94489/1.jpg?8641
CV6T200S,Enduro Congélateur Vertical 6 TIROIRS 200 Litres Silver CV6T200S,Gris,electronique,Enduro,195200,"['Type de refroidissement : defrost', 'Couleur : Gris', 'Volume brut total : 200 litres', 'Volume net total : 170 litres', 'Volume net congelateur : 170', 'Classe energetique : A+', 'Classe climatique : SN-T', 'Type de refrigerant : R600A', 'Dimensions (lxpxh mm) : 578x593x1471', 'Nombre de tiroirs congélateur : 6']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/366121/1.jpg?7835
RCST240S,Enduro Réfrigérateur Combiné 3 tiroirs - 230 litres - RCST240S - Classe A++,Silver,electronique,Enduro,189500,"['Type de refroidissement : Defrost', 'Couleur : Silver', 'Volume brut total : 250 litres', 'Volume net total : 230 litres', 'Volume net refroidisseur : 146 litres', 'Volume net congelateur : 84 litres', 'Classe énergétique : A++', 'Classe climatique : SN-T', 'Type de refrigerant : R600A', 'Nombre de tiroirs congélateur : 3', 'Dimensions (LxPxH mm) : 540x590x1520', 'Bac à glaçon', 'Etagères en verre trempé ajustable', 'Portes oeufs', 'Accessoires transparents', 'Portes reversibles', 'Dégagement à zero', 'Pieds de nivellement']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/923711/1.jpg?7828
WA-58SU7200C3,WOW TV Téléviseur LED 58 Pouces - Smart Android 11 - 4K Ultra HD - Noir - Garantie 6 Mois,Noir,electronique,WOW TV,198900,"['Type de Produit : TV DLED', 'Marque : WOW', 'Modèle : WA-58SU7200C3', 'Smart TV', 'Écran : 58 Pouces (147,3 cm x 128,4 x 72,2 cm)', ""Résolution d'affichage : 4K Ultra HD 3840 x 2160 pixels"", 'Haut-parleurs : 8W + 8W', 'HDMI :x3', 'USB : x2', 'Aspect ratio : 16:9', 'Brightness : 250±10%', 'Contraste : 3000:1', 'Angle de vue : 176°(H) X 176°(V)', 'Couleurs : 16.7M', 'Temps de réponse : 6.5ms', 'Fréquence : 60HZ', 'Audio（RCA）Input（LR） : x2', 'Video（RCA）Input : x2', 'Alimentation : 100-240V~ 5060Hz', 'Dimensions : 145.25 x 28.12 x 89.23 cm', 'Poids : 17.5Kg', 'Garantie : 6 mois', ""Les problèmes d'écrans ne sont pas pris en comptes dans la garantie"", ""La garantie ne prend pas en charge les réparations\xa0sur l'écran"", 'USB JPEGBMPPNG,MP3,MPEG124,H.264,H.265(4K)', 'Système intelligent Android 11CPU CA53*4@1.5GHZGPU G52(2EE)MC1RAM 1GMémoire flash 8G', 'Consommation électrique E65(webOS WEE2.0)：200W；E65:220W', ""Système d'exploitation 7.1* WIFI Oui"", 'SYSTEM 1,1 Système TV PAL BG DK I，SECAM BG DK', 'Garantie : 06 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/954121/1.jpg?9476
CH280W,Astech Congélateur Horizontal 280 Litres - CH280W - Gris  - Garantie 12 Mois,Gris,electronique,Astech,138300,"['Type de produit: Electroménager', 'Marque :\xa0Astech', 'Modèle :\xa0CH280W', 'Capacité : 280 Litres', 'Classe énergétique : A+', 'Eclairage LED', 'Garantie : 12 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/141501/1.jpg?9446
WA-43SF5200B2,WOW TV Televiseur LED 43 Pouces - Smart Android 11 - Full HD - Noir - Garantie 6 Mois,Noir,electronique,WOW TV,109900,"['Type de Produit : TV DLED', 'Marque : WOW', 'Modèle : WA-43SF5200B2', 'Smart TV', 'Écran : 43 Pouces (108 cm)', ""Résolution d'affichage : Full HD 1920 x 1080 pixels"", 'Haut-parleurs : 8W + 8W', 'HDMI :x2', 'USB : x2', 'Poids : 6.4kg', 'Aspect ratio : 16:9', 'Brightness : 220±10%', 'Contraste : 3000:1', 'Angle de vue : 176°(H) X 176°(V)', 'Couleurs : 16.7M', 'Temps de réponse : 6.5ms', 'Fréquence : 60HZ', 'Dimensions : 96.4 x 22.1 x 61.5 cm', 'Garantie : 6 mois', ""Les problèmes d'écrans ne sont pas pris en comptes dans la garantie"", ""La garantie ne prend pas en charge les reparations sur l'écran"", 'Dimension Poids', 'avec support(mm) sans support(mm) Net(Kg) Brut(Kg) 1Carton(Kg)', '964*221*615 964*75*568 6,4 8,2 1,8', '1,1 Système TV PAL BG DK I，SECAM BG DK', '1,2 Système DTV NON', '1,3 Système AV PAL, SECAM, NTSC', '1,4 MTS ou NICAM Non', '1,5 Sous-titrageV-Chip Non', '1,6 Page télétexte NON', '1,7 Langue du télétexte NON', '1,8 Canal de stockage maximum ATV:99', '2,1 Mode image Oui', '2,2 Compatible avec HDTV（YPBPR）NON', '2,3 Support de la PCResolution NON', '2,4 Compatible USB（No license agreement）,USB JPEGBMPPNG,MP3,MPEG124,H.264,H.265', '3,1 Mode sonore Oui', '3,2 Effet sonore Oui', '3,3 Puissance de sortie audio maximale 8W+8W', '4,1 Entrée antenne ×1( Type DIN)', '4,2 Entrée USB ×2', '4,3 Entrée HDMI ×2', '4,4 Entrée VGA NON', '4,5 Entrée PC AUDIO NON', '4,6 Entrée audio（RCA）（LR）×2', '4,7 Vidéo（RCA）Input ×2', '4,8 Entrée YPbPr（RCA）NON', '4,9 Entrée RJ45 ×1', '4,1 Entrée carte CI Non', '4,11 Entréesortie SCaRT Non', '4,12 Entrée DC (12V) Non', '4,13 EMPLACEMENT POUR CARTE NON', '5,1 Sortie écouteurs ×1', '5,2 Sortie ligne audio（RCA）（LR）Non', '5,3 Sortie vidéo（RCA）） NonNon', '5,4 Optique Non', '5,5 Sortie coaxiale ×1', '6,1 Puissance nominale 100-240V~ 5060Hz', '6,2 Power Consumption E43(2K):75W；E43(4K):85W；E43(4K:webOS):100W；E43W(2K):75W；E43W(4K):85W；E43W(4K:webOS):100W', '7.1* WIFI Oui', '7.2* Système intelligent Android 9.0', '7.3* CPU Cortex A53*4 64bit', '7.4* GPU Mali-G31MP2', '7.5* RAM 1G', '7.6* Mémoire flash de 8 Go', 'Garantie : 06 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/504811/1.jpg?5004
WA-65SU7200C2,WOW TV Téléviseur LED 65 Pouces - Smart Android 11 - 4K Ultra HD - Noir - Garantie 6 Mois,Noir,electronique,WOW TV,289900,"['Type de Produit : TV DLED', 'Marque : WOW', 'Modèle : WA-65SU7200C3', 'Smart TV', 'Écran : 65 Pouces (165 cm)', ""Résolution d'affichage : 4K Ultra HD 3840 x 2160 pixels"", 'Haut-parleurs : 8W + 8W', 'HDMI :x3', 'USB : x2', 'Aspect ratio : 16:9', 'Brightness : 250±10%', 'Contraste : 3000:1', 'Angle de vue : 176°(H) X 176°(V)', 'Couleurs : 16.7M', 'Temps de réponse : 6.5ms', 'Fréquence : 60HZ', 'Audio（RCA）Input（LR） : x2', 'Video（RCA）Input : x2', 'Alimentation : 100-240V~ 5060Hz', 'Dimensions : 145.25 x 28.12 x 89.23 cm', 'Poids : 17.5Kg', 'Garantie : 6 mois', ""Les problèmes d'écrans ne sont pas pris en comptes dans la garantie"", ""La garantie ne prend pas en charge les réparations\xa0sur l'écran"", 'USB JPEGBMPPNG,MP3,MPEG124,H.264,H.265(4K)', 'Système intelligent Android 11CPU CA53*4@1.5GHZGPU G52(2EE)MC1RAM 1GMémoire flash 8G', 'Consommation électrique E65(webOS WEE2.0)：200W；E65:220W', ""Système d'exploitation 7.1* WIFI Oui"", 'SYSTEM 1,1 Système TV PAL BG DK I，SECAM BG DK', 'Garantie : 06 mois']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/504811/1.jpg?6720
STCC-320V,SMART TECHNOLOGY Congélateur Horizontal Avec Vitre 264 Litres - Gris -STCC-320V- Garantie 12 Mois,Gris,electronique,SMART TECHNOLOGY,172400,"['Type de produit : Congélateur horizontal avec vitre', 'Modèle : STCC-320V', 'Volume brut : 280 L', 'Volume net : 264 L', 'Capacité de congélation :12kg24h', 'Tension : 220-240 V', 'Fréquence nominal : 50Hz', 'Courant : 1.0A', 'Puissance lampe : 2W', 'Réfrigérant : R134a105g', 'Dimensions : 118.6 x 58.2 x 87 cm', 'Clé : Oui', 'Grille pour refroidissement : Oui', 'Thermostat réglable : Oui', 'Pieds réglables : Oui', 'Poids : 40.4 Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/47579/1.jpg?7535
