modele,Nom,couleur,cathegorie,marque,prix,Description,link
Radio 1338,Generic Radio FM - rechargeable port USB - carte TF - avec lampe led,N/A,electronique,Generic,8000,"['BAND :AMFMSW1-810BANDS RADIO', 'FRÉQUENCE : port USB , SD ,TF\xa0 \xa0MP3 MUSIC PLAYER', 'AUTONOMIE :LONG DURÉ', 'LAMPE :LED très puissant', 'SOURCE :110V220V']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/60799/1.jpg?1997
bague,Generic 1 PCS Chapelet Electronique perlé pour invocation,NB,electronique,Generic,1804,"['Type de Produit : Compteur électronique', 'Compteur électrique', 'Couleur : ALEATOIRE', 'Matériel : Plastique', 'FACILE', '1 PCS Chapelet Electronique perlé pour invocation']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/16489/1.jpg?9422
Bouilloire,"Dewars White Label Bouilloire électrique 2,5L en acier inoxydable",Rouge,electronique,Dewars White Label,18000,"['Marque : caralstar', 'Modèle : KO150110', 'Type de produit : Bouilloire classique', 'Capacité : De 2,5l', 'Puissance : 1800 watts', 'Résistance : Cachée', 'Coloris : rouge']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/746121/1.jpg?2493
STCD-240F,SMART TECHNOLOGY Congélateur Vertical 5 Tiroirs- STCD-240F - 150 L - Argent - 12 Mois Garantie,Gris,electronique,SMART TECHNOLOGY,175000,"['Type de produit : Congélateur Débout', 'Modèle : STCD-240F', 'Nombre de tiroirs : 5', 'Volume brut: 150L', 'Capacité congelée: 8kg24h', 'Poignet ergonomique et élégant', 'Fermeture Ã\xa0 clef : Oui', 'Tension : 220-240V', 'Fréquence : 50Hz', 'Courant nominal: 1.2A', 'Valeur de bruit: 42db (A)', 'Réfrigérant : R134a 120 g', 'Dimension: 56.2x 54.6x144.0\xa0cm', 'Poids : 41 Kg']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/938121/1.jpg?5053
"26/55 """,Generic Support Mural TV LED/LCD - pour Ecrans de 26 à 63 Pouces,Noir,electronique,Generic,2900,"['Type Produit : Support Mural Tv', 'Compatibilité : Tv de 26 à 55 Pouces', 'Particularité : Matière de conception de qualité', 'Pratique et solide', 'Facile d’installation']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/49639/1.jpg?5446
Air - R02,Oraimo Ecouteur Bluetooth Oraimo Air - R02,Blanc,electronique,Oraimo,6900,"['Version Bluetooth: 5.2 Distance de détection: 10-15 mètres', 'Temps de lecture: 4-5 heures', 'Réduction intelligente du bruit: Oui', 'Temps de veille: 12 heures', 'Chargement des écouteurs: 1 heure', 'Chargement de la boîte de rangement: 1-2 heures', 'BATTERIE 400 MAH']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/292121/1.jpg?0557
STCB-358H,SMART TECHNOLOGY SMART Réfrigérateur Combiné - STCB-358H- 248L - Argent - 12 Mois Garantie,Gris,electronique,SMART TECHNOLOGY,218500,"['LES PROBLÈMES DE MANQUE DE GAZ NE SONT PAS PRIS EN COMPTE PAR LA GARANTIE', 'Garantie 12 Mois', 'Type de produit : Réfrigérateur Combiné', 'Modèle : STCB-358H', 'Capacité brute: 248L', 'Type de climate: STT', 'Classe de protection: I', 'Capacité de congélation: 4.0Kg24h', 'Tension: 220-240 V', 'Frequence: 50 Hz', 'Courant\xa0 Nominal: 1.0A', 'Puissance d entrée nominale: 120W', 'Puissance de la Lampe: 1.5W', ""Consommation d'énergie: 0.84Kwh24h"", 'Gaz réfrigérant: R600a', 'Tropicalisé', 'Design moderne perfectionné', 'Economie d’électricité', ""Economie d'énergie"", 'Condenseur Extérieur', 'Thermostat Réglable', 'Niveau sonore : Silencieux', 'Dimensions :54.3×54.3×179.1cm', 'Poids : 52Kg', 'LES PROBLÈMES DE MANQUE DE GAZ NE SONT PAS PRIS EN COMPTE PAR LA GARANTIE']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/998711/1.jpg?8337
compteur de perles avec lumière LED,Generic compteur avec boussole-Chapelet Electronique pour invocation,N/A,electronique,Generic,3500,"['Matériau: plastique ABS', 'Taille: environ 120x40x2 0mm4.72x1.57x0.79in (non compris gland longueur)', 'Plage de comptage: 0-99999', 'Batterie: pile bouton AG13, non remplaçable', ""Temps d'utilisation: plus d'un an""]",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/00099/1.jpg?0012
1.5,TC2i Support Mural - Compatible TV 14 à 42 Pouces - Pivotant - Inclinable - Noir,Noir,electronique,TC2i,8500,"['Type de produit: Support Mural Pivotant', 'Matière: Métal', ""Taille de l'écran: 14-42 Pouces"", 'Distance du mur : 110-530 mm', 'Vesa : 40x40 cm', 'Poids supporté: 40 kg', 'Angle de rotation : -15; +15 degré', 'Facile à monter', 'Poids: 1.5 kg', 'Vis de montage fournies']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/091611/1.jpg?6412
TÉLÉCOMMANDE ANDROID TV BOX,Generic TÉLÉCOMMANDE TV BOX ANDROÏD,N/A,electronique,Generic,2999,"['Nom du produit: télécommande', 'Matériel: ABS', 'Couleur: Noir', 'Taille: 14 × 4.3 cm5.51 × 1. 69in (environ)', 'Alimentation: 2 piles AAA (non fournies)']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/40979/1.jpg?4573
HR-99VN,Haier HR-99VN mini-réfrigérateur 90L,Noir,electronique,Haier,115000,"['3,3 cu. Capacité en pieds', 'Porte simple', 'Tablettes métalliques réglables', 'Poignée encastrée', 'Dessus de la table', 'Design compact', 'Couleur: argent-noir', 'Non-onduleur', 'Flexible', ""Économiseur d'espace"", 'Compartiment compact', 'Kw24h (W) : 61 Watts', 'Tension nominale : 220 V-240 V', 'Largeur x Profondeur x Hauteur (L x P x H)(cm) : 47,6 x 49,4 x 79,5 cm', 'Poids (kg):22kg', '(2) ans']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/217121/1.jpg?6250
XIRING,Autre Lecteur Code Barre - USB / 2D,NOIR,electronique,Autre,16500,"['Marque : XIRING', 'Modèle : PCK00157A', 'Référence : ACC004-001-A10', 'Connectique : USB 2.0  Plug & Play', 'Alimentation : USB (5V)', 'Socle pour TPE', 'Technologie de connectivité\tUSB']",https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/756001/1.jpg?9428
