Nom,prix,link,marque,Description,modele,couleur,cathegorie
Samsung Galaxy A14 5G RAM 4Go - ROM 128Go - Light Green,88200,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/440911/1.jpg?8377,Samsung,"['Marque : SAMSUNG', 'Nom du modèle : A14 5G', 'Sans fil Déverrouillé pour tous les opérateurs', ""Système d'exploitation : Android 13.0"", 'Technologie cellulaire : 5G', 'Capacité de stockage de la mémoire :128 GB', 'Technologie de connectivité : Bluetooth, Wi-Fi, USB', ""Taille de l'écran : 6,6 pouces"", 'Technologie de réseau sans fil : GSM']",Galaxy A14,Light Green,telephone-tablette
"Tecno Camon 20 - 6.67""- 256Go - 8Go  - 64 Mpx  - 5000mAh - Android 13 - Dual SIM – Bleu - Garantie 12 mois",115900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/498911/1.jpg?7819,Tecno,"['Type de produit : Smartphone', 'Marque :\xa0Tecno', 'Modèle :\xa0Camon 20 Premier', 'Noms alternatifsCK9n (International)', 'Date de sortie\xa0Mardi 09 Mai 2023', 'Matériaux de fabrication Dos : cuir écologique', 'Avant: Verre', 'ÉCRAN', ""Technologie d'affichage\xa0AMOLED"", ""Taille de l'écran6.67 pouce"", 'Résolution1080 × 2400 px', 'Fréquence de rafraîchissement120Hz', ""Ratio d'aspect20:9"", 'Densité de pixels395 ppp', ""Taux d'occupation de l'écran≈ 88.1%"", 'Écran tactile Oui', 'Écran sans lunette Oui', 'CaractéristiquesAlways-On Display, Écran tactile capacitif, Multi-touches', 'MATÉRIEL', 'ChipsetMediaTek Dimensity 8050', 'Cœurs de processeurOcta-core', 'Technologie de processeur6 nm', 'Vitesse maximale du processeur3.0 GHz', 'Architecture du processeur64-bit', 'MicroarchitectureCortex-A78, Cortex-A55', 'Type de mémoireLPDDR4X', 'GPUARM Mali-G77 MC9', 'Mémoire Vive8GB', 'Stockage512GB', 'Stockage extensible Non', 'LOGICIEL', ""Système d'exploitationAndroid 13 (Tiramisu)"", 'Interface utilisateurHIOS 13', 'CAMÉRA PRINCIPALE', 'Caméra Oui', 'Caméra triple50 Mpx, f1.8, 23 mm ( Grand angle ), 1.0 μm, 11.5"" Taille du capteur', 'Autofocus laser', ""Stabilisation optique de l'image (OIS)"", 'PDAF', '108 Mpx, f2.2, 13 mm ( Ultra-grand angle )', 'PDAF', '2 Mpx, f2.4 ( Lentille de profondeur )', 'Flash Oui', 'Type de flashAnneau-LED Flash', 'CaractéristiquesPlage dynamique élevée (HDR)', 'Panorama', 'vidéo Oui', 'Résolution vidéo2160p @ 30 fps', '1080p @ 30 fps', 'Fonctionnalités vidéoHDR', 'CAMÉRA FRONTALE', 'Caméra Oui', 'Caméra unique32 Mpx, f2.5, 24 mm ( Grand angle ), 0.8 μm, 12.8"" Taille du capteur', 'Flash Oui', 'Type de flashFlash double LED', 'vidéo Oui', 'Résolution vidéo1080p @ 30 fps', 'BATTERIE', 'TypeLi-Poly', 'Capacité5000 mAh', 'AmovibilitéNon amovible', 'Vitesse de charge filaire45W', 'RÉSEAU', 'Cartes SIMDual SIM', 'Type de carte SIMNano-SIM', 'VoLTE Oui', 'Vitesse des données5G, LTE-A, HSPA', 'Bandes 2GGSM: 850  900  1800  1900 MHz', 'Bandes 3GHSPA: 850  900  1700  1900  2100 MHz', 'Bandes 4GLTE: b3 (1800), b41 (2500 MHz)', 'Bandes 5G5G: n1 (2100), n2 (1900 MHz)', 'CONNECTIVITÉ', 'Wi-Fi Oui ( Wi-Fi 5 )', 'Normes Wi-Fi802.11bagnac', ""Fonctionnalités Wi-FiBi-bande, Point d'accès pour mobiles"", 'Bluetooth Oui, v5.2', 'Ports USBUSB Type-C 2.0', 'USB On-The-Go', 'Connectivité USBChargement USB, Périphérique de stockage de masse USB', 'GPS Oui', 'Fonction GPSA-GPS', 'NFC Oui', 'MULTIMÉDIA', 'Haut-parleur Oui', 'Prise casque Non', 'Type de sonAudio 24 bits192 kHz, Stereo', 'Radio FM Oui', 'CARACTÉRISTIQUES', 'CapteursAccéléromètre', 'Boussole', 'Gyroscope', 'Capteur de proximité', ""Capteur d'empreintes digitales sous l'écran""]",CK6,Bleu,telephone-tablette
Samsung Galaxy A14 5G RAM 4Go - ROM 128Go - Noir,90800,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/440911/1.jpg?1089,Samsung,"['Marque : SAMSUNG', 'Nom du modèle : A14 5G', 'Sans fil Déverrouillé pour tous les opérateurs', ""Système d'exploitation : Android 13.0"", 'Technologie cellulaire : 5G', 'Capacité de stockage de la mémoire : 128 GB', 'Technologie de connectivité : Bluetooth, Wi-Fi, USB', 'Couleur : Noir', ""Taille de l'écran : 6,6 pouces"", 'Technologie de réseau sans fil : GSM']",Galaxy A14,Noir,telephone-tablette
"Tecno Spark 10 - 6.6"" - ROM 128Go – 8Go – 50MP - 5000mAh- Dual SIM - Bleu - Garantie 12 mois",73700,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/883911/1.jpg?8858,Tecno,"['Type Produit : Smartphone', 'Marque : TECNO', 'Modèle : KI5Q', 'Serie: TECNO SPARK 10', 'IDA ENGINE 3.0', 'Téléchargement via Cellulaire plus rapide de 45%, Wifi de 300%, et Réseau de Camp de 90%.', 'ELLA 2.0', 'Un assistant digne de confiance, réactif et intelligent qui parle anglais, français et haoussa nigérian.', ""MODE ULTRA ÉCONOMIE D'ÉNERGIE"", ""Une excellente optimisation de l'énergie qui améliore de 30 % l'autonomie globale de la batterie."", 'AI GALLERY 5.0', 'Album géré par un algorithme qui classe les photos, recommande des couvertures et trie vos albums.', 'Résumé', 'Appareil photo arrière ultra clair de 50 mégapixels', '8MP Selfie lumineux avec double flash', 'Design iconique', '5000mAh Super Battery+18W Fast Charge', '128GB ROM , 16GB RAM(8GB Extended RAM)', '6.6"" HD+90Hz taux de rafraîchissement', 'Spécifications', 'Hauteur : 163,89 mm', 'Largeur : 75,39 mm', 'Épaisseur : 8,40 mm', 'Taux de rafraîchissement de 6,6"" HD+90Hz', 'Résolution 720*1612', 'Octa-core', '128GB ROM', '16GB RAM', '5000mAh(typ)+18W', 'Android 13', 'Réseau et connectivité', '2G', '3G', '4G', 'GPS', 'WIFI 2.4+5GHz', 'FM', 'GNSS', 'Type-C', 'NFC', 'Appareil photo et interface', 'Appareil photo arrière ultra clair de 50 mégapixels', '8MP Selfie lumineux avec double flash']",KI5Q,Bleu,telephone-tablette
Samsung Galaxy A14 5G RAM 4Go - ROM 64Go - Noir,79300,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/440911/1.jpg?8627,Samsung,"['Marque : SAMSUNG', 'Nom du modèle : A14 5G', 'Sans fil Déverrouillé pour tous les opérateurs', ""Système d'exploitation : Android 13.0"", 'Technologie cellulaire : 5G', 'Capacité de stockage de la mémoire : 64 GB', 'Technologie de connectivité : Bluetooth, Wi-Fi, USB', 'Couleur : Noir', ""Taille de l'écran : 6,6 pouces"", 'Technologie de réseau sans fil : GSM']",Galaxy A14,Noir,telephone-tablette
"Tecno Camon 20 - 6.67""- 256Go - 8Go  - 64 Mpx  - 5000mAh - Android 13 - Dual SIM – Noir - Garantie 12 mois",120500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/807121/1.jpg?7052,Tecno,"['Type de produit : Smartphone', 'Marque :\xa0Tecno', 'Modèle :\xa0Camon 20 Premier', 'Noms alternatifsCK9n (International)', 'Date de sortie\xa0Mardi 09 Mai 2023', 'Matériaux de fabrication Dos : cuir écologique', 'Avant: Verre', 'ÉCRAN', ""Technologie d'affichage\xa0AMOLED"", ""Taille de l'écran6.67 pouce"", 'Résolution1080 × 2400 px', 'Fréquence de rafraîchissement120Hz', ""Ratio d'aspect20:9"", 'Densité de pixels395 ppp', ""Taux d'occupation de l'écran≈ 88.1%"", 'Écran tactile Oui', 'Écran sans lunette Oui', 'CaractéristiquesAlways-On Display, Écran tactile capacitif, Multi-touches', 'MATÉRIEL', 'ChipsetMediaTek Dimensity 8050', 'Cœurs de processeurOcta-core', 'Technologie de processeur6 nm', 'Vitesse maximale du processeur3.0 GHz', 'Architecture du processeur64-bit', 'MicroarchitectureCortex-A78, Cortex-A55', 'Type de mémoireLPDDR4X', 'GPUARM Mali-G77 MC9', 'Mémoire Vive8GB', 'Stockage512GB', 'Stockage extensible Non', 'LOGICIEL', ""Système d'exploitationAndroid 13 (Tiramisu)"", 'Interface utilisateurHIOS 13', 'CAMÉRA PRINCIPALE', 'Caméra Oui', 'Caméra triple50 Mpx, f1.8, 23 mm ( Grand angle ), 1.0 μm, 11.5"" Taille du capteur', 'Autofocus laser', ""Stabilisation optique de l'image (OIS)"", 'PDAF', '108 Mpx, f2.2, 13 mm ( Ultra-grand angle )', 'PDAF', '2 Mpx, f2.4 ( Lentille de profondeur )', 'Flash Oui', 'Type de flashAnneau-LED Flash', 'CaractéristiquesPlage dynamique élevée (HDR)', 'Panorama', 'vidéo Oui', 'Résolution vidéo2160p @ 30 fps', '1080p @ 30 fps', 'Fonctionnalités vidéoHDR', 'CAMÉRA FRONTALE', 'Caméra Oui', 'Caméra unique32 Mpx, f2.5, 24 mm ( Grand angle ), 0.8 μm, 12.8"" Taille du capteur', 'Flash Oui', 'Type de flashFlash double LED', 'vidéo Oui', 'Résolution vidéo1080p @ 30 fps', 'BATTERIE', 'TypeLi-Poly', 'Capacité5000 mAh', 'AmovibilitéNon amovible', 'Vitesse de charge filaire45W', 'RÉSEAU', 'Cartes SIMDual SIM', 'Type de carte SIMNano-SIM', 'VoLTE Oui', 'Vitesse des données5G, LTE-A, HSPA', 'Bandes 2GGSM: 850  900  1800  1900 MHz', 'Bandes 3GHSPA: 850  900  1700  1900  2100 MHz', 'Bandes 4GLTE: b3 (1800), b41 (2500 MHz)', 'Bandes 5G5G: n1 (2100), n2 (1900 MHz)', 'CONNECTIVITÉ', 'Wi-Fi Oui ( Wi-Fi 5 )', 'Normes Wi-Fi802.11bagnac', ""Fonctionnalités Wi-FiBi-bande, Point d'accès pour mobiles"", 'Bluetooth Oui, v5.2', 'Ports USBUSB Type-C 2.0', 'USB On-The-Go', 'Connectivité USBChargement USB, Périphérique de stockage de masse USB', 'GPS Oui', 'Fonction GPSA-GPS', 'NFC Oui', 'MULTIMÉDIA', 'Haut-parleur Oui', 'Prise casque Non', 'Type de sonAudio 24 bits192 kHz, Stereo', 'Radio FM Oui', 'CARACTÉRISTIQUES', 'CapteursAccéléromètre', 'Boussole', 'Gyroscope', 'Capteur de proximité', ""Capteur d'empreintes digitales sous l'écran""]",CK6,Noir,telephone-tablette
Generic Casque Bluetooth Sans Fil P9 + EDR - Version 2023 - Anti Bruit Avec Micro - Noir,5990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/776121/1.jpg?1409,Generic,"['Marque : Music Pioneer', 'Modèle : P9', 'Nom du produit : écouteurs Bluetooth', 'Couleur : Blanc', 'Puissance de charge : 50mW', 'Version Bluetooth : Bluetooth 5.0', 'Réponse en fréquence du casque : 20Hz-20KHz', ""Tension d'alimentation : 3.3-4.2V"", 'SNR : 100dB', ""Portée : jusqu'à 15 mètres"", 'Réponse en fréquence 5-2500Hz', 'Sensibilité 105dB', 'Durée de la musique 8-10 heures', ""Autonomie en veille jusqu'à 10 heures"", 'Gamme de fréquences 2,4 GHZ-2,48 FGZ', 'Mode de transfert : type bobine mobile', 'Gamme de fréquences : 24GHz-2480GHz', 'Tension de charge : 5V', 'Spécification du klaxon : 40mm', 'Impédance : 32', 'Interface de chargement : Micro USB', 'Type de prise : Interface stéréo 3,5 mm', 'Capacité de la batterie : 400\xa0mA', 'Poids : 150g5.3oz']",P9,NOIR,telephone-tablette
Generic Ecouteurs Bluetooth F9 Power LED 2000mAH - Noir,2900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/358021/1.jpg?3189,Generic,"['Véritable stéréo sans fil, son HIFI.', 'Les oreilles gauche et droite ont toutes les fonctionnalités du casque Bluetooth et peuvent être utilisées individuellement ou par paires.', 'Double mode Bluetooth 5.0, consommation d’énergie ultra faible.', 'Distance de transmission Bluetooth: 10 mètres sans obstacle.', 'Temps d’écoute de la chanson: environ 4-5 heures', 'Capacité de la batterie (boîte de charge): batterie intégrée de grande capacité 2000mAh. Peut charger les écouteurs 25']",F9 Fingerprint Touch écouteurs Bluetooth Power LED 2000mAH,Noir,telephone-tablette
"VILLAON V20  - 6.3"" - ROM 32Go - RAM 2Go - Dual SIM",22900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/656121/1.jpg?7536,VILLAON,"['Type de produit : Smartphone', 'Modèle : Villaon V20', 'Ecran : 6.3 Pouces', 'Résolution : 854 x 480 pixels', 'Caméra principale : 5 MP', 'Mémoire RAM: 2 GB', 'Mémoire ROM : 32Go  Extensible', 'Capacité de la batterie: 3000 mAh']",V20,Noir,telephone-tablette
ACE-Elec Écouteurs - Bluetooth 5.1  M10 - Résistant à l'Eau - Stéréo Hi-Fi - Noir,3050,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/073021/1.jpg?1304,ACE-Elec,"['Double affichage LED', 'Version Bluetooth 5.1', 'Durée de vie de la batterie plus longue', 'Hifi stéréo', 'Couplage automatique à la mise sous tension', 'Commande tactile', 'Étanche IPX5', ""Fonction d'isolation acoustique"", 'Deux Ports']",M10,Noir,telephone-tablette
