Nom,prix,link,marque,Description,modele,couleur,cathegorie
Generic Mini Souris Sans Fil Rechargeable 2.4G noir,2380,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/68849/1.jpg?4314,Generic,"['Transmission stable 2,4 G, Plug and Play, distance de connexion de 10 m', 'Interface rechargeable Microre, ne payez plus les batteries', 'Clic silencieux, ne plus interrompre les autres', ""Pré-alarme intelligente : une fois à faible puissance, la souris fonctionne lentement pour pré-alarmer l'utilisateur pour charger la souris, elle ne s'éteindra pas soudainement à cause de l'absence d'alimentation."", 'Attention, la souris a une fonction de veille intelligente, si votre PC est en état de veille, la souris passera automatiquement en état de veille.', 'Lumière LED de respiration colorée (peut être désactivée) le bouton de commande en bas de la souris', ""Sensibilité jusqu'à 1600 DPI, commutateur: 800DPI  1200DPI  1600DPI"", '4 boutons avec molette de défilement, adaptés aux systèmes optiques de haute précision de la boîte Android de bureau Smart TV Score', 'Molette de défilement ultra-précise', 'La technologie optique fonctionne sur la plupart des surfaces et sur tous les tapis de souris', ""Design ergonomique, plusieurs heures d'utilisation sans fatigue""]",Souris sans fil ultra-mince rechargeable 2.4G,noir,ordinateurs-accessoires-informatique
Generic Clé USB 128 Go - Clé USB Pour TV 4Go offert - Gris/Noir,3980,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/358021/1.jpg?2583,Generic,"['Description:', 'Norme technique：GBT 26225-2010', 'Marque : UWY', 'Numéro de produit : UUDP-250', 'Couleur: Couleur du pistolet', 'Taille : 4,8 x 1,2 x 0,5 cm', 'Poids : 10 grammes', 'Interface : démarrer', 'FlashChip : MUDP haute vitesse', 'Taux de lecture : 15-30 Mos', ""Taux d'écriture : 8-10 Mos"", 'Système : pour Windows XPVistaWin 7, Mac OS 9.X et', ""Puce d'origine de l'usine Flash"", 'Petite taille, très portable', 'Pratique à prendre, facile à utiliser', 'Interface USB2.0 standard', 'Noir classique et élégant']",USB-HK+LC-64G+4G,Gris/Noir,ordinateurs-accessoires-informatique
"Generic Housse pour ordinateur portable 13.3""",2990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/711121/1.jpg?6959,Generic,"['Matériau : polyester', 'Couleur : gris', ""Taille : 13,3''"", ""13.3 '': 36*26*3 cm""]",Laptop sleeve-13.3'',gris,ordinateurs-accessoires-informatique
"Generic Q13 Souris de jeu sans fil rechargeable  - 2,4 G",3255,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/531021/1.jpg?8341,Generic,"['Connexion avec ordinateur : 2.4G', 'Résolution optique : 1 600 dpi (dpi)', 'Nombre de clés : 6 (clés)', 'Interface : USB', 'Résolution réglable : trois vitesses', 'Distance de fonctionnement : 10 (m)', 'Méthode de travail : photoélectrique', 'Direction de la roue: roue tactile', 'Taille du produit : 13*8*3.8 cm', 'Poids du produit : 0,16 (KG)']",Souris,noir,ordinateurs-accessoires-informatique
Generic Souris Sans Fil Rechargeable - 2.4Ghz - Noir,1980,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/14906/1.jpg?1130,Generic,"['Type de produit: Souris', 'Modèle : Sans Fil\xa02.4 GHz', 'Rechargeable', 'Quantité: 1', 'Noir']",SB001,Noir,ordinateurs-accessoires-informatique
Generic Clé USB 2.0 - 32GB - Argent,2235,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/14906/1.jpg?3326,Generic,"['Type de produit: Clé USB', 'Capacité: 32GB', 'Température de fonctionnement: entre 0 °C et 60 °C', 'Température de stockage: entre - 20 °C et 85 °C', 'Quantité: 1']",UD001,Argent,ordinateurs-accessoires-informatique
"Generic Présentateur de page PPT USB rechargeable 2,4 GHz pour présentation Powerpoint",5510,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/643911/1.jpg?7114,Generic,"['Méthode de contrôle à distance : fréquence radio sans fil 2,4 G', 'Distance de la télécommande : 30 mètres', 'Distance laser : 200 mètres', 'Couleur laser : lumière rouge', ""Mode d'alimentation: batterie au lithium intégrée, chargement USB""]",Présentateur,noir,ordinateurs-accessoires-informatique
Generic Souris Sans Fil RGB Bluetooth - 2.4G - Argent,2100,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/553911/1.jpg?7138,Generic,"['2.4G+Bluetooth dual-mode( BT3.0 Or BT5.2 ), which can be connected to the computer through the USB receiver, or through the Bluetooth and the computer, provides reliable connection within a range of 10m, allows you to say goodbye to the wired shackles and operate more freely.', 'Ergonomic design, fits the hand, provides comfortable feel, effectively reduces hand fatigue.', 'Humanized silent design, creates a quiet and comfortable environment whether you are in quiet office or studying late at night in the library.', 'Accurate Tracking:The slim wireless mouse has 3 DPI level (800-1200-1600) to meet your different demands, experience smooth tracking on most surfaces.', '7 Colors RGB LED Breathing Light - This kind of light will not make you dazzling, but it can definitely increase the beauty of the product, especially at night, it can create a cool effect; As long as you turn on the light button, it will automatically switch between different light colors.', 'Slim design, lightweight and portable, you can easily put it in a bag or pocket, more convenient to use.', 'Built-in 500mAh rechargeable batter, adopt Low and energy saving technology, no need to charge the batter repeatedly.']",Souris sans fil，Souris Bluetooth sans fil，Souris sans fil lumineuse,Argent,ordinateurs-accessoires-informatique
Samsung Clé - USB - 64GB - 130 Mb/s Ultra Rapide - Argent,4000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/74879/1.jpg?3247,Samsung,"['Type de produit : Clé USB', 'Capacité :64GB', 'Marque : Samsung', 'Vitesse de transfert : 130 MBs', 'Configuration système: Windows Vista, Windows 7, Windows 8, 8.1 &10 ou OS X 10.6.610.7 10.8 10.9']",Samsung Clé USB BAR Plus 32Gb - 130 Mb/s Ultra Rapide,Argent,ordinateurs-accessoires-informatique
Hp Imprimante Tout-en-Un DeskJet 2720 Avec WiFi - Blanc,33900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/42553/1.jpg?8512,Hp,"[""Type de sortie d'imprimante Monochrome"", 'Couleur Blanc', 'Marque HP', ""Type de média d'impression Envelopes, Paper (plain)"", 'Type de connecteur Wi-Fi', 'séries DeskJet 2720', ""Système d'exploitation MacOS 10.12 Sierra, MacOS 10.14 Mojave, Windows 7, MacOS 10.13 High Sierra"", 'Interface du matériel informatique USB 2.0', 'Capacité de stockage 512 MB', 'Capacité maximale en papier (entrée) 60']",Deskjet 2710,Blanc,ordinateurs-accessoires-informatique
