Nom,prix,link,marque,Description,modele,couleur,cathegorie,identification,file_name
Generic Ambientador Amalfi - Gouttes à gouttes - Lavande - 125 ml,2450,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/57388/1.jpg?6144,Generic,"['Goutte à goutte', 'Désodorisant', ""Assainisseur d'air"", ""Parfum d'ambiance"", 'Fraîcheur Lavande', 'Multi-usage', 'Contenance : 125 mL', 'Action durable']",ambientador,mauve,beaute-hygiene-sante,1641,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1641_Generic_Ambientador_Amalfi_-_Gouttes___gouttes_-_Lavande_-_125_ml.jpg
Viga Spray Retardé Viga 50000 pour Sexe Long - Version Améliorée - 45 ML,3990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/56489/1.jpg?0907,Viga,"['Type de produit : : Viga Spray', 'Contenance : 45 ml', 'Appliquée 5 mn Avant', 'Durci', 'Tonus']",Viga 50000,Noir,beaute-hygiene-sante,1642,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1642_Viga_Spray_Retard__Viga_50000_pour_Sexe_Long_-_Version_Am_lior_e_-_45_ML.jpg
Generic Crème  Fruitée Développe Hanches et Fesses - 200 ml,1900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/01388/1.jpg?0221,Generic,"['Crème fruitée raffermissante pour les fesses et les hanches.', 'Aux herbes naturelles']",1,Multucouleure,beaute-hygiene-sante,1643,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1643_Generic_Cr_me__Fruit_e_D_veloppe_Hanches_et_Fesses_-_200_ml.jpg
Generic Tondeuse A Cheveux Rechargeable professionnel,7500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/938121/1.jpg?5056,Generic,"['Tranchant', 'Batterie de grande capacité', 'Forte puissance', 'Réduction du bruit', 'Chargement rapide', 'Durable']",Tondeuse,Jeune or,beaute-hygiene-sante,1644,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1644_Generic_Tondeuse_A_Cheveux_Rechargeable_professionnel.jpg
Souplesse Huile De Fenugrec 60 ml + Beurre De Fenugrec 150 ML,3000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/86289/1.jpg?3323,Souplesse,"['Type de produit : huile', 'Matière : extrait\xa0de fenugrec', 'Utilisation : Casual ou quotidienne', 'Huile nourrissante', 'ideal pour la peau']",0.1,JAUNE MARRON,beaute-hygiene-sante,1645,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1645_Souplesse_Huile_De_Fenugrec_60_ml___Beurre_De_Fenugrec_150_ML.jpg
Generic Got2B Gel Spiking Glue - Got2B - 35g,2900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/27319/1.jpg?5225,Generic,"['Got2B Gel Spiking Glue - Got2B - 35g\xa0Ultra collé', 'Cette formule sans alcool est non desséchante, jamais collante ou grasse,', 'se rince rapidement.', 'Principales caractéristiques', 'Gel pour une tenue maximum', 'Formule sans alcool', 'Se rince rapidement']",Gel,Multicolore,beaute-hygiene-sante,1646,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1646_Generic_Got2B_Gel_Spiking_Glue_-_Got2B_-_35g.jpg
Generic Pâte dentifrice Charbon  dents Extra blanchies - 3D - Lanbena,1341,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/813121/1.jpg?7264,Generic,"['Extra blanche', 'Nettoyant', 'Contre mauvaise haleine', 'Rafraîchissant', 'Satisfaction garantie']",Charbon,Noir / blanc,beaute-hygiene-sante,1647,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1647_Generic_P_te_dentifrice_Charbon__dents_Extra_blanchies_-_3D_-_Lanbena.jpg
"Generic 26pcs Kit SM ensemble d'articles érotiques, anal plug bundle combo - Noir",14850,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/082121/1.jpg?8639,Generic,"['* matériel de haute qualité: fait de cuir de haute qualité, pas facile à casser, réutilisable et durable. Jouet de jeu pour les couples.', ""* expérience spéciale: avec cet ensemble de jouets, vous pouvez essayer d'autres jouets différents avec votre partenaire et augmenter votre désir."", '* Portable: les ensembles de jouets sexuels sont légers, faciles et ne prennent que peu de place dans le sac, mais ne sont pas lourds.', '* grand accessoire: Utilisez ce jouet de jeu sexuel comme un accessoire complet du corps qui peut être utilisé rapidement et facilement pour transformer votre lit en un paradis enchaîné et profiter de la douce douleur du désir.', '* large application: idéal pour les hommes et les femmes, idéal pour les débutants et les utilisateurs professionnels.']",SM ensemble d'articles érotiques,Noir,beaute-hygiene-sante,1648,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1648_Generic_26pcs_Kit_SM_ensemble_d_articles__rotiques__anal_plug_bundle_combo_-_Noir.jpg
Axe Lot de 2 Déodorants Atomiseur Africa - 150 ml,3900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/22184/1.jpg?0002,Axe,"['AXE Déodorant', 'Atomiseur Africa 150 ml', 'Déodorant pour homme Axe', 'Deodorant Antibactérien.', 'Un déodorant parfumant pour homme, pour sentir bon toute la journée', 'Eviter les mauvaises odeurs', 'Avec AXE, révèle ce qui te rend unique']",0.015,Noir,beaute-hygiene-sante,1649,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1649_Axe_Lot_de_2_D_odorants_Atomiseur_Africa_-_150_ml.jpg
Disaar Coffret RICE de soins de la peau du visage blanchissant Rice Facial,7900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/705711/1.jpg?5963,Disaar,"['Type de produit : Soins de visage', 'Marque : Disaar', 'Soins de la peau du visage', 'Blanchissant', 'RICE pour éliminer les taches', 'Nettoyant pour le visage']",Gamme,Orange,beaute-hygiene-sante,1650,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1650_Disaar_Coffret_RICE_de_soins_de_la_peau_du_visage_blanchissant_Rice_Facial.jpg
Lattafa Parfum Khamrah by Lattafa,24500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/420121/1.jpg?3383,Lattafa,[],Parfum,Neutre,beaute-hygiene-sante,1651,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1651_Lattafa_Parfum_Khamrah_by_Lattafa.jpg
Generic Gaine ceinture amincissante pour femme 5 mètres,4300,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/578121/1.jpg?3002,Generic,"['Affine la silhouette,', 'Elimine les toxines,', 'Raffermietonifie la peau et', 'Améliore la circulation sanguine.', 'Effet visible sous peu\xa0de temps.', 'Matériel: Nylon', 'Couleur: Noir', 'Taille en option: 5m', 'Longueur: environ 5m16,40 pieds']",Lombaire,Noir,beaute-hygiene-sante,1652,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1652_Generic_Gaine_ceinture_amincissante_pour_femme_5_m_tres.jpg
Hair Now Now Hair NowNow extrait 100% naturel  growht serum - 50ml,2990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/932001/1.jpg?8277,Hair Now Now,"['-une repousse d une rapidité sans égale,', '-économique', '- 100% naturelle', '- senteur agréable', '-utilisation facile', '-conditionné en spray', '- tres efficace sur les alopécies']",HAIR NOW,neutre,beaute-hygiene-sante,1653,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1653_Hair_Now_Now_Hair_NowNow_extrait_100__naturel__growht_serum_-_50ml.jpg
Generic Savon 24k éclaircissant teint claire,2500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/57188/1.jpg?7571,Generic,"['Crème concentré teint diamant aha', 'Creme aha glutathione comprime diamant extraeclaircissant sérum eclaircissant diamant au glutathione comprime procure unehydratation à la peau. Ses pricipaux ingredients sont: le glutathione comprimé,acide hyaluronique, vitamin', 'Descriptions sérum glutathionecomprime diamant extra eclaircissant sérum eclaircissant diamant au glutathionecomprime procure une hydratation à la peau. Ses pricipaux ingredients sont: leglutathione comprimé, acide hyaluronique, vitamine c, collagen, arbutine, leshuiles essentielles, coenzyq10, qui rendront votre peau eclatante. Ellecontient du glutathione en comprimé qui possède des propriétés eclair', 'Descriptions sérum glutathionecomprime diamant extra eclaircissant sérum eclaircissant diamant au glutathionecomprime procure une hydratation à la peau. Ses pricipaux ingredients sont: leglutathione comprimé, acide hyaluronique, vitamin']",Tein,multicolor,beaute-hygiene-sante,1654,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1654_Generic_Savon_24k__claircissant_teint_claire.jpg
Generic Premium Qualité - Baume Lévres Roses - 100% Naturelle,2000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/85506/1.jpg?5317,Generic,"['Baume Lévres Roses', '100% naturelle', ""Durée variable selon l'individu"", 'Résultats satisfaisants', 'Usage sur les lévres']",Lev,Rose,beaute-hygiene-sante,1655,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1655_Generic_Premium_Qualit__-_Baume_L_vres_Roses_-_100__Naturelle.jpg
Generic Tablier Coupe de cheveux Cape coiffure coiffeur  imperméable - Blanc,3990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/530101/1.jpg?2129,Generic,"['Certification de Qualité des Produits:\xa0CE', 'Taille:\xa0140x160cm', ""Type D'article:\xa0Tondeuse\xa0à\xa0cheveux"", 'Matériau:\xa0polyester pongee', 'Numéro de Modèle:\xa0E66-CC0034']",cape coiffure,Blanc,beaute-hygiene-sante,1656,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1656_Generic_Tablier_Coupe_de_cheveux_Cape_coiffure_coiffeur__imperm_able_-_Blanc.jpg
Generic Mini Sèche-Cheveux - Bleu,3500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/85379/1.jpg?0761,Generic,"['Materail: plastique', 'Couleur', 'Taille (L * W * H): 175 * 125 * 68 (largeur: non compris la buse)', 'Longueur du câble: env. 102cm', 'Type de prise: EU', 'Alimentation: 220V, 50  60HZ', 'Puissance: 1000W', 'Marque: Nova', 'Couleur BLEU', 'Nom du modèle: professionnel', 'Nombre de réglages de vitesse: 2', 'Types de pièces jointes: Diffuseur', ""Fonction d'air froid: Non Spécifications du sèche-cheveux professionnel"", 'Politique de Garantie FR Pas de Garantie Sèche-cheveux']",NV,bleu,beaute-hygiene-sante,1657,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1657_Generic_Mini_S_che-Cheveux_-_Bleu.jpg
Carmex Lips  à Lèvres waw! -couleur rose,1500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/90405/1.jpg?5179,Carmex,"['Fournit une barrière de protection durable pour aider à favoriser la guérison', ""S'applique en douceur pour adoucir et hydrater les lèvres grâce au beurre de cacao hydratant"", 'Rafraîchit et apaise les lèvres avec du camphre et du menthol', ""Le baume à lèvres médicamenteux emblématique sur lequel les générations s'appuient pour apaiser et protéger les lèvres sèches et gercées"", 'efficace']","7,5 gr",Jaune,beaute-hygiene-sante,1658,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1658_Carmex_Lips____L_vres_waw__-couleur_rose.jpg
Generic Crème Boom  Boom développe fésse et seins 100% naturel,3500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/54788/1.jpg?6911,Generic,"['Cette\xa0crème augmente les fesses\xa0contient les extraits de piment et de gingembre.\nLorsque vous appliquez la crème sur le ventre, la peau se réchauffe,', ""réduit la\ngraisse et la chair flasque dans l'abdomen, raffermit la peau flasque et\naméliore complètement la peau de l'abdomen l'abdomen plus lisse, plus serré,"", ""plein d'élasticité."", ""Cette crème amincissante pour le ventre contient les\nextraits de piment et de gingembre. Lorsque vous appliquez la crème sur le\nventre, la peau se réchauffe, réduit la graisse et la chair flasque dans\nl'abdomen, raffermit la peau flasque et améliore complètement la peau de\nl'abdomen l'abdomen plus lisse, plus serré, plein d'élasticité.\xa0\xa0 Fonctionnalité:\xa0 Excellents résultats en peu de temps.Il\ndissout les graisses et améliore le tonus de la peau rapidement et en toute\nsécurité..La combinaison de gingembre et de piment fort dissout les cellules\nadipeuses de la zone massée et donne à la peau un aspect plus lisse, plus jeune\net plus élastique."", ""Mode d'emploi:\xa0\n-Appliquez une bonne quantité de crème sur la zone à traiter et\nmassez-la en mouvements circulaires pendant 3 à 5 minutes ou jusqu'à absorption\ncomplète. Pour de meilleurs résultats, utilisez-la après un bain chaud ou juste\nun rinçage chaud deux fois par jour jusqu’à atteindre le résultat souhaité.Pour\nrenforcer l’effet de ce produit s’il est appliqué sur la zone stoh, portez une\nceinture amincissante après son application.Il peut être utilisé aussi bien par\nles hommes que par les femmes.Pour usage externe uniquement, conservez le\nproduit au frais endroit et loin des enfants Ceci est une annonce privée avec\nexpédition rapide et paquet discret.\xa0\nContenu du coffret:1pc 200ml\xa0\ncrème amincissante piment fort & gingembre rapide perdre du poids\nbrûler des graisses."", ""Cette\xa0crème\xa0amincissante pour le ventre\xa0contient\nles extraits de piment et de gingembre. Lorsque vous appliquez la crème sur le\nventre, la peau se réchauffe, réduit la graisse et la chair flasque dans\nl'abdomen, raffermit la peau flasque et améliore complètement la peau de\nl'abdomen l'abdomen plus lisse, plus serré, plein d'élasticité.""]",100,Multicolore,beaute-hygiene-sante,1659,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1659_Generic_Cr_me_Boom__Boom_d_veloppe_f_sse_et_seins_100__naturel.jpg
Parley Herbal Beauty Cream Jar,3200,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/459911/1.jpg?0822,Parley,[],PH_BC25gm,White,beaute-hygiene-sante,1660,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1660_Parley_Herbal_Beauty_Cream_Jar.jpg
savon noir africain SAVON NOIR DUDU OSUN - 150 gr,2000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/90016/1.jpg?5384,savon noir africain,"['Savon noir dudu-osun 150g', 'Anti bactérien', 'Elimine les taches et points noirs', 'Enlève les boutons', 'A base de produits naturels', 'Pour un teint lisse et soyeux']",savon NOIR,noir,beaute-hygiene-sante,1661,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1661_savon_noir_africain_SAVON_NOIR_DUDU_OSUN_-_150_gr.jpg
Generic Lot de  12 Savons au Lait de Riz,5900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/66763/1.jpg?6082,Generic,"['Produits autres que ce produit ne sont pas inclus!!!!', 'Nom du produit: Riz Lait À La Main Savon Blanchissant', 'Style: Savon', 'Efficacité: le contrôle du Pétrole, blanchiment et hydratant', 'Contenu Net: 60g', 'Poids: 70g', ""Couleur: Comme montré dans l'image"", 'Foule Applicable: Monnaie', 'Comment Utiliser', ""Mousse, masser le visage avec la mousse, masser le corps pour un moment, puis rincer abondamment à l'eau claire."", ""Parce que de la différences entre différents moniteurs, l'image peut ne pas refléter la couleur réelle de le projet. Je vous remercie beaucoup.""]",1,multicouleure,beaute-hygiene-sante,1662,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1662_Generic_Lot_de__12_Savons_au_Lait_de_Riz.jpg
Sivoderm Crème Épilatoire Bio - Extraits d'Aleo Vera pur - 130ml,2999,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/138121/1.jpg?9749,Sivoderm,"['Avec La crème dépilatoire SIVODERM', 'Le poil est rapidement dissout', 's’élimine lors du rinçage', 'en laissant ensuite la peau douce et lisse', 'contenance 130 ml']",M1,vert,beaute-hygiene-sante,1663,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1663_Sivoderm_Cr_me__pilatoire_Bio_-_Extraits_d_Aleo_Vera_pur_-_130ml.jpg
Disaar Huile  Disaar VC  - 100ml,2550,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/051401/1.jpg?7186,Disaar,"['L’huile est aussi un anti-âgenaturel', 'Riche en antioxydants', 'L’huile est cicatrisante', 'L’huile combat l’acné efficacement', 'L’huile protège les cheveux et les nourrit', 'L’huile protège contre les maladiescardiovasculaires', 'Contenance 100 ml']",Huile,Blanc,beaute-hygiene-sante,1664,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1664_Disaar_Huile__Disaar_VC__-_100ml.jpg
Generic Lait de corps hydratant acm - 500 ml,12900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/763811/1.jpg?9444,Generic,"['Marque :ACM', 'Type :lait Éclaircissant', 'Couleurs :aléatoire', 'Contenance :500 ml', 'Poids: 1kg']",1,Blanc,beaute-hygiene-sante,1665,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1665_Generic_Lait_de_corps_hydratant_acm_-_500_ml.jpg
Dudu-Osun Lot de 24 Savons Noirs - 150 Gr x 24,16999,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/51919/1.jpg?7860,Dudu-Osun,['Poids 150g'],LOT DE,AN,beaute-hygiene-sante,1666,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1666_Dudu-Osun_Lot_de_24_Savons_Noirs_-_150_Gr_x_24.jpg
Original Beurre Aloe Vera -   Pure   Concentrée -    150ML,2500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/908001/1.jpg?4635,Original,"['Type de produit : Huile Aloe Vera Pure Concentrée', 'Favorise la cicatrisation', 'Régénérante', 'Anti-âge', 'Repulpe les tissus.', 'Contenance :\xa0 120Gr', 'Pure Concentré']",Huile d'Aloe Vera - Pure Concentrée -,Vert,beaute-hygiene-sante,1667,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1667_Original_Beurre_Aloe_Vera_-___Pure___Concentr_e_-____150ML.jpg
Generic Gel d'Aloe Vera - Masque Visage Anti-acné,1975,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/00946/1.jpg?2289,Generic,"['gel hydratant et rafraîchissant', ""contenant 92% d'aloe vera pur"", 'Contenance : 220 ML', ""Après avoir nettoyé votre visage, appliquez le gel d'aloès sur votre visage."", ""Appliquer le gel d'aloès le matin comme crème pour le visage."", ""Appliquer le gel d'aloès le matin comme masque facial.""]",Creme,vert,beaute-hygiene-sante,1668,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1668_Generic_Gel_d_Aloe_Vera_-_Masque_Visage_Anti-acn_.jpg
Generic Encensoir Electrique - And Thiouraye - Dorée,6000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/058611/1.jpg?2048,Generic,"['Matière\xa0:\xa0métal', 'Model : WF 002', 'Size : 10.4x10,4x18.5', 'Volt : 50-60Hz', 'Puissance: 40w', '240V']",bruleur,Dorée,beaute-hygiene-sante,1669,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1669_Generic_Encensoir_Electrique_-_And_Thiouraye_-_Dor_e.jpg
Pixi - Glow Tonique,8900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/290911/1.jpg?1912,Pixi,"['Vegan', 'Exfoliant', 'Revitalise', 'Lissant', 'Tous types de peau']",Glow Tonique,Orange / Vert,beaute-hygiene-sante,1670,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1670_Pixi_-_Glow_Tonique.jpg
Ozentya Authentique - Gamme Complete  Mayana 4 in 1 - Lait + 3 Savons,18700,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/12089/1.jpg?0508,Ozentya,"['Fondu au lait:', 'protection UV', 'Vous laisse avec une peau éclatante', 'Formule de soin unique', 'Réduit les taches indésirables', 'Harmonise le teint', 'Correcteur de taches noires:', 'Cache les taches brunes et ACNE', 'Effet maximum', 'Formule concentrée', 'Savon Exfoliant:', 'Riche en acides de fruits', 'Élimine les impuretés de la peau', 'SANS PARABEN', 'SANS HYDROQUINONE']",Gamme,neutre,beaute-hygiene-sante,1671,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1671_Ozentya_Authentique_-_Gamme_Complete__Mayana_4_in_1_-_Lait___3_Savons.jpg
SIGNAL Dentifrice White now Gold - blancheur instantanée- extra fraicheur  75ml,2000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/681811/1.jpg?9273,SIGNAL,"['Dentifrice Signal', 'Contenance : 75 ml', 'Soulagement de la sensibilité dentaire', 'Protection longue durée contre la sensibilité dentaire', 'Goût frais']",Dentifrice,bleu,beaute-hygiene-sante,1673,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1673_SIGNAL_Dentifrice_White_now_Gold_-_blancheur_instantan_e-_extra_fraicheur__75ml.jpg
White Label Stylo Blanchiment des Dents Instantané,2000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/123121/1.jpg?7266,White Label,"['Un petit stylo qui tiendra facilement dans votre poche', 'Permet de blanchir les dents visiblement en une semaine seulement.', 'Stylo', 'Blanchiment', 'des Dents Instantané']",Stylo Blanchiment des Dents Instantané,blanc,beaute-hygiene-sante,1674,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1674_White_Label_Stylo_Blanchiment_des_Dents_Instantan_.jpg
White Label Ceinture Lombaire anti-douleur Auto-Chauffante,6000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/848911/1.jpg?3559,White Label,"['Type de produit : Ceinture Lombaire', 'Matière Intelligente qui augmente la température du ventre pour une sudation intensive!', 'Peut se porter au quotidien ou pendant vos activités sportives.', 'Affine la silhouette,', 'Elimine les toxines,', 'Raffermietonifie la peau et', 'Améliore la circulation sanguine.', 'Effet visible sous peu de temps.']",0.3,Noire,beaute-hygiene-sante,1675,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1675_White_Label_Ceinture_Lombaire_anti-douleur_Auto-Chauffante.jpg
Generic Cristaux de Menthole,1500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/38979/1.jpg?9883,Generic,"['Rafraîchissant, effet ""frisson""', 'Décongestionnant', 'Antidouleur', 'Repulpant sur les lèvres', ""Rafraîchit l'haleine, masque les mauvaises odeurs""]",1,Blanc,beaute-hygiene-sante,1677,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1677_Generic_Cristaux_de_Menthole.jpg
Generic Beurre de Cacao Bio - 250g,3000,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/56879/1.jpg?5646,Generic,"['Type de produit : beurre de Cacao', 'Particularité: Nourrissant et réparateur', 'Poids: 250 Gr', 'Corps', 'Cheveu']",Pot,Beige,beaute-hygiene-sante,1678,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1678_Generic_Beurre_de_Cacao_Bio_-_250g.jpg
Beurre de Karité - Crème Activatrice Curl Hydratante Pour Cheveux Naturels - 355 ml,5875,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/61706/1.jpg?6086,(2 avis vérifiés),"['La crème activatrice de cheveux hydratante CANTU POUR CHEVEUX NATURELS adoucit et améliore le motif de boucles naturel en révélant un volume sans frisottis et est idéale pour un lavage et un départ rapides.', 'REDUCE FRIZZ: active les boucles révélant des boucles élastiques et sans frisottis.', 'AJOUTER UN VOLUME: Rend le volume et ajoute de la brillance.', ""L'huile de coco protège les cheveux""]",0.118,multucouleure,beaute-hygiene-sante,1679,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1679_Beurre_de_Karit__-_Cr_me_Activatrice_Curl_Hydratante_Pour_Cheveux_Naturels_-_355_ml.jpg
White Label Palette de Fard à Paupières - 12 Couleurs,2290,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/7211/1.jpg?2106,White Label,"['Créez votre propre beauté: Libérez votre côté artistique et amusez-vous! Vous allez créer une gamme de looks, du modeste au modèle, en un rien de temps.', 'Qualité professionnelle: Les ingrédients de haute qualité rendent la couleur soyeuse et le maquillage de longue durée sans stimuler votre peau.', ""12 couleurs différentes palette d'ombres à paupières en poudre pressée hautement pigmentée, idéal pour explorer les couleurs et l'art du maquillage. Costume pour différentes occasions, comme occasionnel, salon, fête, mariage, etc.""]",0.5,Multicolores,beaute-hygiene-sante,1680,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1680_White_Label_Palette_de_Fard___Paupi_res_-_12_Couleurs.jpg
"Aichun Beauty Crème Depilatoire Aisselle, Bras, Jambes à base de collagène et de lait",2500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/963121/1.jpg?8099,Aichun Beauty,"['Type de produit : Crème dépilatoire', 'Marque : Aichun Beauty', 'Volume : 100 ml', 'Durée de conservation : 3 ans', 'Matériaux : camomille', 'Composants principaux : glycérine + squalane + bisabolol + allantoïne', 'Enlève extrêmement efficacité les poils indésirables', 'Retarde la repousse des cheveux', 'Rend la peau douce et soyeuse', 'Pas de risque de lésion cutanée']",Crème,Blanche,beaute-hygiene-sante,1681,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1681_Aichun_Beauty_Cr_me_Depilatoire_Aisselle__Bras__Jambes___base_de_collag_ne_et_de_lait.jpg
"Disaar Huile essentielle à la vitamine C pour peau lisse, 200ml, extrait d'e Vera, anti-rides, hydratant",2500,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/318121/1.jpg?5793,Disaar,"['Type de produit : Huile essentielle pour peau lisse', 'Marque : Disaar', 'Modèle : Vitamine C', 'Type : Huile émolliente', 'Utiliser : Huile de corps', 'Tout type de peau', 'Genre : Unisexe', 'Hydratante et antioxydant', 'Volume : 200 ml']",Vitamin C,Orange,beaute-hygiene-sante,1682,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1682_Disaar_Huile_essentielle___la_vitamine_C_pour_peau_lisse__200ml__extrait_d_e_Vera__anti-rides__hydratant.jpg
Lalala HUILE  ÉCLAIRCISSANTE,3290,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/3674/1.jpg?5570,Lalala,"['Contenance 100 ml', 'Adoucissante\xa0&\xa0rajeunissante', 'Procure à la peau\xa0une allure éclatante et\xa0radieuse', 'Riche en Vitamine E', 'Enrichi aux extraits de plantes']",Huile anti-tâche éclaircissant,TRANSPARENT,beaute-hygiene-sante,1683,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\1683_Lalala_HUILE___CLAIRCISSANTE.jpg
