Nom,prix,link,marque,Description,modele,couleur,cathegorie,identification,file_name
Shower to Shower Déodorant Bille Homme Intense Cool 48h - 50ml,790,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/707121/1.jpg?9822,Shower to Shower,"['Type Produit : Déodorant', 'Marque : Shower to Shower', 'Nom : Déodorant Men', 'Contenance : 50ML', 'Livraison à domicile ou en point relais']",1,Bleu,beaute-hygiene-sante,11,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\11_Shower_to_Shower_D_odorant_Bille_Homme_Intense_Cool_48h_-_50ml.jpg
Lanbena Liquide blanchissant dentaire biologique - 10 ml,1350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/964121/1.jpg?7340,Lanbena,"['Effet blanchissant.', 'Efficace pour enlever las taches de thé, de café et d’autres pigments sur les dents, et pour éliminer la plaque.', ""Blanchiment des dents, réduction de la saleté des dents, amélioration de l'hygiène buccodentaire, réduction des maladies buccales."", ""Mode d'emploi : verser deux gouttes de liquide sur un disque de coton, puis frotter le disque sur la surface des dents pendant 1 à 2 minutes. Rincer ensuite la bouche avec de l’eau tiède pendant 3 à 5 minutes. Effectuer le traitement une fois par semaine."", ""Type d'article : liquide blanchissant pour les dents."", 'Contenu du colis\u202f:', '1 flacon de 10 ml de liquide blanchissant pour les dents.']",Lb3879,blanche,beaute-hygiene-sante,12,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\12_Lanbena_Liquide_blanchissant_dentaire_biologique_-_10_ml.jpg
Generic Tondeuse à cheveux  rechargeable PRO - 3W - Blanc,2650,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/29389/1.jpg?0224,Generic,"['Lame T-10 (haute teneur en carbone) en acier', 'Utiliser le temps 50 minutes : Tension 110V  60HZ; 220V  50HZ', 'Type de batterie : NI-CDNI-MH', 'Capacité de la batterie : 800-1500 MAH', ""Tension d'entrée : 110 v-240 v, 50 hz60 hz"", 'Puissance nominale : 3 W', 'Temps de charge : 8-12 heures', 'Utilisation continue après pleine charge : 50 minutes', 'Moteur avancé avec fonctionnement silencieux, pas chaud pour une utilisation continue', 'La lame en acier à haute teneur en carbone est silencieuse et longue durée de vie', 'Entretien et réparation faciles', 'Design à la main mince avec poignée soft-touch.', '15 types de prises de pays', 'Testé et approuvé par les coiffeurs professionnels']",Tondeuse AT206,Blanc,beaute-hygiene-sante,13,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\13_Generic_Tondeuse___cheveux__rechargeable_PRO_-_3W_-_Blanc.jpg
Lanbena Liquide Blanchiment Dentaire Lanbena,1350,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/86606/1.jpg?9305,Lanbena,"['Effet blanchissant.', 'Résultat visible dès la 1ère application', 'A long terme', 'Enlève la fluorose dentaire', 'Facile à appliquer']",Blanchiment Dentaire 10ml,Blanc bleue,beaute-hygiene-sante,14,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\14_Lanbena_Liquide_Blanchiment_Dentaire_Lanbena.jpg
LANCET Lot de 10 Lames tranchantes,38,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/44779/1.jpg?9088,LANCET,"['Type Produit : Hygiène', 'Marque : LANCET', 'Nom : Lame', 'Livraison à domicile ou en point relais']",1,Jumia Mall/Food,beaute-hygiene-sante,15,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\15_LANCET_Lot_de_10_Lames_tranchantes.jpg
TOPICREM Pack Lait de corp hydratant topicrem - 500 ml + cadeau offert,7900,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/861811/1.jpg?8019,TOPICREM,"['Marque: topicrem', 'Type: hydratant', 'Couleur : rose blanc', 'Contenance: 500ml', 'Fabriqué en Europe']",Lait de corp hydratant,Blanc,beaute-hygiene-sante,18,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\18_TOPICREM_Pack_Lait_de_corp_hydratant_topicrem_-_500_ml___cadeau_offert.jpg
Generic Balance Pesé Personne Eléctronique De Graisse Corporelle IMC,6600,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/51488/1.jpg?8690,Generic,"['Utilisateur: parfait pour la musculation, la perte de poids, junior, etc.', 'Qualité supérieure: fabriqué avec une plate-forme en verre trempé de haute qualité, un boîtier en ABS et un fond en caoutchouc, durable et antidérapant.', ""Plage de pesée: le poids maximum est jusqu'à 180 lbs  kg."", ""Marche  Arrêt automatique: la balance s'allume ou s'éteint automatiquement, pratique et facile à utiliser."", ""Écran LCD: L'écran LCD affiche clairement les données, ce qui vous permet de les lire facilement."", 'Écran tactile: écran tactile sensible, facile à utiliser.', ""Bord lisse: chaque coin de l'échelle est lisse, il ne sera pas rayé lors de son utilisation.""]",6023,Noir,beaute-hygiene-sante,19,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\19_Generic_Balance_Pes__Personne_El_ctronique_De_Graisse_Corporelle_IMC.jpg
Oud Parfum Oud Orchid Premium - 100 ML,3150,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/236811/1.jpg?5628,Oud,"['Type de produit : Eau De Parfum', 'Contenance : 80 ml 2,7 floz', 'Composition : Alcool , Parfum ,Water , Butylphenyl , Methylpropapional , Benzyl , Limonene', 'Notes de tête : Vanille salée, jasmin', 'Notes de cœur : Fleur de gingembre, mandarine verte', 'Notes de fond : Ambre gris, bois de cachemire']",DARK Brown,marron,beaute-hygiene-sante,20,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\20_Oud_Parfum_Oud_Orchid_Premium_-_100_ML.jpg
Bio Naturelle Nouveau Attoté original 100% naturel - 500ml,5220,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/60099/1.jpg?3711,Bio Naturelle,"['Faiblesse Sexuelle', 'À base de jus de petit cola', 'Très efficace']",500ml,Neutre,beaute-hygiene-sante,21,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\21_Bio_Naturelle_Nouveau_Attot__original_100__naturel_-_500ml.jpg
Generic Tondeuse A Cheveux Electrique Rechargeable-Or,2990,https://sn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/514001/1.jpg?6738,Generic,"['Puissance : 5W', 'Batterie : batterie lithium-ion 18500 mAh', 'Temps de charge : 3 heures', ""Temps d'utilisation : 3 heures"", 'Méthode de charge : charge de la batteriecharge directe USB', 'Ajustement fin de la tête de coupe à double usage : pas de zéro réglable', ""Type de tête d'outil: dents denses de sécurité à angle aigu""]",B021,Or,beaute-hygiene-sante,22,c:\Users\kiemd\OneDrive\Desktop\Porjetfin\data_images\beaute-hygiene-sante\22_Generic_Tondeuse_A_Cheveux_Electrique_Rechargeable-Or.jpg
